JerseyNo,Date,Opp,TRB,AST,STL,PTS
13,2017-10-18,ORL,0,0,0,0
13,2017-10-21,IND,0,0,0,0
13,2017-10-23,ATL,0,0,0,0
13,2017-10-25,SAS,8,0,0,4
13,2017-10-28,BOS,3,0,1,6
13,2017-10-30,MIN,13,0,0,13
13,2017-11-01,CHI,4,0,2,4
13,2017-11-03,DEN,1,0,0,0
13,2017-11-05,LAC,0,0,0,0
13,2017-11-06,GSW,6,0,1,3
13,2017-11-08,PHO,0,0,0,0
13,2017-11-10,UTA,0,0,0,0
13,2017-11-12,DET,0,0,0,0
13,2017-11-15,WAS,0,0,0,0
13,2017-11-17,WAS,1,0,0,1
13,2017-11-19,IND,0,0,0,4
13,2017-11-22,BOS,0,0,0,0
13,2017-11-24,MIN,0,0,0,0
13,2017-11-26,CHI,0,0,0,0
13,2017-11-28,CLE,6,2,0,19
13,2017-11-29,NYK,5,0,2,9
13,2017-12-01,CHO,5,0,4,1
13,2017-12-03,GSW,2,0,1,9
13,2017-12-06,SAS,3,0,1,6
13,2017-12-09,BRK,5,2,0,2
13,2017-12-11,MEM,4,2,2,14
13,2017-12-13,POR,7,2,0,12
13,2017-12-15,CHO,5,1,0,11
13,2017-12-16,LAC,5,3,0,7
13,2017-12-18,ATL,10,1,1,11
13,2017-12-20,BOS,5,0,0,6
13,2017-12-22,DAL,8,5,1,14
13,2017-12-23,NOP,7,4,0,9
13,2017-12-26,ORL,9,4,1,8
13,2017-12-29,BRK,5,1,1,7
13,2017-12-30,ORL,3,0,0,6
13,2018-01-03,DET,3,1,0,0
13,2018-01-05,NYK,7,2,0,2
13,2018-01-07,UTA,2,0,0,4
13,2018-01-09,TOR,15,3,0,16
13,2018-01-10,IND,2,5,1,15
13,2018-01-14,MIL,4,6,0,6
13,2018-01-15,CHI,5,0,1,6
13,2018-01-17,MIL,6,5,1,4
13,2018-01-19,BRK,3,2,0,9
13,2018-01-20,CHO,5,5,2,6
13,2018-01-22,HOU,5,2,0,7
13,2018-01-25,SAC,1,2,1,6
13,2018-01-27,CHO,12,0,1,8
13,2018-01-29,DAL,5,4,1,2
13,2018-01-31,CLE,5,1,0,9
13,2018-02-02,PHI,13,6,0,15
