Date,Opponent,Outcome, PointsTeam, PointsOpponent
Wed Oct 18 2017,Orlando Magic,L,109,116
Sat Oct 21 2017,Indiana Pacers,W,112,108
Mon Oct 23 2017,Atlanta Hawks,W,104,93
Wed Oct 25 2017,San Antonio Spurs,L,100,117
Sat Oct 28 2017,Boston Celtics,L,90,96
Mon Oct 30 2017,Minnesota Timberwolves,L,122,125
Wed Nov 1 2017,Chicago Bulls,W,97,91
Fri Nov 3 2017,Denver Nuggets,L,94,95
Sun Nov 5 2017,Los Angeles Clippers,W,104,101
Mon Nov 6 2017,Golden State Warriors,L,80,97
Wed Nov 8 2017,Phoenix Suns,W,126,115
Fri Nov 10 2017,Utah Jazz,W,84,74
Sun Nov 12 2017,Detroit Pistons,L,103,112
Wed Nov 15 2017,Washington Wizards,L,93,102
Fri Nov 17 2017,Washington Wizards,W,91,88
Sun Nov 19 2017,Indiana Pacers,L,95,120
Wed Nov 22 2017,Boston Celtics,W,104,98
Fri Nov 24 2017,Minnesota Timberwolves,W,109,97
Sun Nov 26 2017,Chicago Bulls,W,100,93
Tue Nov 28 2017,Cleveland Cavaliers,L,97,108
Wed Nov 29 2017,New York Knicks,L,86,115
Fri Dec 1 2017,Charlotte Hornets,W,105,100
Sun Dec 3 2017,Golden State Warriors,L,95,123
Wed Dec 6 2017,San Antonio Spurs,L,105,117
Sat Dec 9 2017,Brooklyn Nets,W,101,89
Mon Dec 11 2017,Memphis Grizzlies,W,107,82
Wed Dec 13 2017,Portland Trail Blazers,L,95,102
Fri Dec 15 2017,Charlotte Hornets,W,104,98
Sat Dec 16 2017,Los Angeles Clippers,W,90,85
Mon Dec 18 2017,Atlanta Hawks,L,104,110
Wed Dec 20 2017,Boston Celtics,W,90,89
Fri Dec 22 2017,Dallas Mavericks,W,113,101
Sat Dec 23 2017,New Orleans Pelicans,L,94,109
Tue Dec 26 2017,Orlando Magic,W,107,89
Fri Dec 29 2017,Brooklyn Nets,L,87,111
Sat Dec 30 2017,Orlando Magic,W,117,111
Wed Jan 3 2018,Detroit Pistons,W,111,104
Fri Jan 5 2018,New York Knicks,W,107,103
Sun Jan 7 2018,Utah Jazz,W,103,102
Tue Jan 9 2018,Toronto Raptors,W,90,89
Wed Jan 10 2018,Indiana Pacers,W,114,106
Sun Jan 14 2018,Milwaukee Bucks,W,97,79
Mon Jan 15 2018,Chicago Bulls,L,111,119
Wed Jan 17 2018,Milwaukee Bucks,W,106,101
Fri Jan 19 2018,Brooklyn Nets,L,95,101
Sat Jan 20 2018,Charlotte Hornets,W,106,105
Mon Jan 22 2018,Houston Rockets,L,90,99
Thu Jan 25 2018,Sacramento Kings,L,88,89
Sat Jan 27 2018,Charlotte Hornets,W,95,91
Mon Jan 29 2018,Dallas Mavericks,W,95,88
Wed Jan 31 2018,Cleveland Cavaliers,L,89,91
Fri Feb 2 2018,Philadelphia 76ers,L,97,103
Sat Feb 3 2018,Detroit Pistons,L,107,111
Mon Feb 5 2018,Orlando Magic,L,109,111
Wed Feb 7 2018,Houston Rockets,L,101,109
Fri Feb 9 2018,Milwaukee Bucks,W,91,85
Tue Feb 13 2018,Toronto Raptors,L,112,115
Wed Feb 14 2018,Philadelphia 76ers,L,102,104
Fri Feb 23 2018,New Orleans Pelicans,L,123,124
Sat Feb 24 2018,Memphis Grizzlies,W,115,89
Tue Feb 27 2018,Philadelphia 76ers,W,102,101
Thu Mar 1 2018,Los Angeles Lakers,L,113,131
Sat Mar 3 2018,Detroit Pistons,W,105,96
Mon Mar 5 2018,Phoenix Suns,W,125,103
Tue Mar 6 2018,Washington Wizards,L,113,117
Thu Mar 8 2018,Philadelphia 76ers,W,108,99
Sat Mar 10 2018,Washington Wizards,W,129,102
Mon Mar 12 2018,Portland Trail Blazers,L,99,115
Wed Mar 14 2018,Sacramento Kings,L,119,123
Fri Mar 16 2018,Los Angeles Lakers,W,92,91
Mon Mar 19 2018,Denver Nuggets,W,149,141
Wed Mar 21 2018,New York Knicks,W,119,98
Fri Mar 23 2018,Oklahoma City Thunder,L,99,105
Sun Mar 25 2018,Indiana Pacers,L,107,113
Tue Mar 27 2018,Cleveland Cavaliers,W,98,79
Thu Mar 29 2018,Chicago Bulls,W,103,92
Sat Mar 31 2018,Brooklyn Nets,L,109,110
Tue Apr 3 2018,Atlanta Hawks,W,101,98
Wed Apr 4 2018,Atlanta Hawks,W,115,86
Fri Apr 6 2018,New York Knicks,L,98,122
Mon Apr 9 2018,Oklahoma City Thunder,L,93,115
Wed Apr 11 2018,Toronto Raptors,W,116,109
